cnty_fips,percent_inactive,percent_smoking,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,FIPS_x,NonVetsDisabilty,FIPS_y,VetsDisabilty
16053,23.0,18.0,28.8,7.3,3.5,28.5,16053,1438.0,16053,73.0
16063,22.2,18.3,30.8,7.6,3.6,30.1,16063,280.0,16063,32.0
16065,17.7,13.3,19.9,4.2,2.1,20.6,16065,2698.0,16065,112.0
16067,25.8,16.9,31.4,7.7,3.6,31.5,16067,1247.0,16067,82.0
16071,27.4,15.2,35.2,8.2,3.6,35.6,16071,246.0,16071,12.0
16073,23.4,18.8,33.8,8.4,3.9,32.1,16073,854.0,16073,121.0
16075,24.6,16.8,34.3,7.9,3.7,32.1,16075,1774.0,16075,148.0
16077,23.0,16.7,30.8,7.4,3.5,30.8,16077,358.0,16077,36.0
16081,14.8,13.6,26.7,5.5,2.4,28.3,16081,245.0,16081,47.0
16083,25.0,16.6,30.5,6.9,3.3,29.2,16083,5962.0,16083,382.0
16087,24.3,16.7,38.6,10.2,4.7,35.4,16087,605.0,16087,56.0
32001,23.6,18.9,33.1,7.9,3.5,33.9,32001,1526.0,32001,364.0
32003,23.8,16.7,30.2,6.8,3.2,31.8,32003,120626.0,32003,14289.0
32005,17.2,15.2,36.1,8.9,3.6,36.3,32005,2173.0,32005,486.0
32007,24.3,19.5,27.2,6.5,2.9,29.1,32007,3443.0,32007,320.0
32009,19.5,20.7,42.7,13.4,6.0,39.7,32009,140.0,32009,3.0
32011,21.1,21.3,33.4,9.1,4.0,34.7,32011,102.0,32011,0.0
32013,19.4,19.9,32.0,7.4,3.2,32.1,32013,789.0,32013,105.0
32015,19.1,21.4,33.1,8.5,3.8,33.6,32015,435.0,32015,36.0
32017,22.6,18.5,34.6,8.9,3.8,34.7,32017,345.0,32017,0.0
32019,21.4,19.9,34.1,8.4,3.7,35.8,32019,3856.0,32019,618.0
32021,21.0,23.5,41.1,11.6,5.5,37.3,32021,289.0,32021,75.0
32023,22.3,20.2,40.7,11.0,4.9,40.6,32023,4699.0,32023,649.0
32027,21.0,20.6,32.5,7.7,3.3,32.8,32027,345.0,32027,0.0
32029,18.4,15.0,37.9,9.4,3.9,38.5,32029,292.0,32029,55.0
32031,17.1,17.1,28.1,6.7,2.9,34.0,32031,24319.0,32031,2748.0
32033,23.4,20.5,32.9,8.2,3.6,32.2,32033,336.0,32033,89.0
32510,20.4,17.6,32.7,8.0,3.6,33.4,32510,3484.0,32510,207.0
35003,19.2,18.4,44.1,13.9,6.5,39.0,35003,285.0,35003,157.0
35006,28.1,22.5,34.4,8.3,4.5,31.3,35006,2646.0,35006,132.0
35013,19.9,14.1,29.9,6.5,3.3,30.4,35013,14822.0,35013,2103.0
35017,17.5,15.2,34.6,9.6,4.5,34.3,35017,2279.0,35017,230.0
35023,18.3,16.2,35.6,8.9,4.2,34.2,35023,364.0,35023,24.0
35029,25.2,18.2,34.5,9.6,4.7,32.1,35029,2039.0,35029,129.0
35031,23.5,24.6,34.6,9.0,5.7,30.3,35031,5930.0,35031,539.0
35043,16.5,14.9,28.6,6.6,3.0,30.5,35043,9258.0,35043,871.0
35045,23.4,22.0,33.4,7.7,4.2,28.4,35045,8502.0,35045,636.0
35051,21.1,15.3,40.9,11.7,5.4,37.7,35051,1297.0,35051,73.0
35053,22.1,18.3,33.8,8.6,4.2,32.3,35053,1563.0,35053,136.0
35061,22.7,15.6,30.9,7.1,3.4,30.3,35061,7950.0,35061,828.0
41023,18.7,16.5,39.9,10.0,4.7,37.2,41023,543.0,41023,85.0
41025,20.3,16.9,36.0,8.5,4.0,33.5,41025,695.0,41025,57.0
41045,25.3,19.0,31.5,7.8,4.0,31.0,41045,2057.0,41045,151.0
49001,20.1,9.5,29.6,6.2,2.8,32.0,49001,317.0,49001,14.0
49003,18.1,10.3,28.3,6.0,2.8,30.7,49003,3321.0,49003,228.0
49005,14.8,8.4,22.7,4.6,2.3,27.1,49005,5338.0,49005,203.0
49007,23.9,11.8,32.1,7.4,3.5,33.0,49007,1690.0,49007,62.0
49009,18.2,9.8,35.2,8.1,3.4,37.3,49009,22.0,49009,2.0
